colnames,import,type,meaning,
Round,1,str,Spieltag,
spieltag,1,int,Zeile in fbref,
teamname,1,str,,
Date,1,date,,
Time,0,,,
Comp,0,,,
D,1,str,weekday,
Venue,1,str,,
Result,0,,,
GF,1,int,home goals,
GA,1,int,away goals,
Opponent,1,str,,
xG,1,num,Expected goals,
xGA,1,num,Expected goals against, 
Poss,0,,,
Attendance,0,,,
Captain,0,,,
Formation,0,,,
Referee,0,,,
Match.Report,0,,,
Notes,0,,,
Date.1,0,,,
Time.1,0,,,
Comp.1,0,,,
D.1,0,,,
Venue.1,0,,,
Result.1,0,,,
GF.1,0,,,
GA.1,0,,,
Opponent.1,0,,,
Gls,0,,,
Sh,0,,,
SoT,0,,,
SoT%,0,,,
G/Sh,0,,,
G/SoT,0,,,
Dist,0,,,
FK,0,,,
PK,0,,,
PKatt,0,,,
xG.1,0,,,
nG,0,,,
nG/Sh,0,,,
GG,0,,,
np:GG,0,,,
Match Report,0,,,
SoTA,0,,,
Saves,0,,,
Save%,0,,,
CS,0,,,
PG,0,,,
PG+/-,0,,,
PKatt.1,0,,,
PKA,0,,,
PKsv,0,,,
PKm,0,,,
Cmp,0,,,
Att,0,,,
Cmp%,0,,,
Att.1,0,,,
Thr,0,,,
Launch%,0,,,
AvgLen,0,,,
Att.2,0,,,
Launch%.1,0,,,
AvgLen.1,0,,,
Opp,0,,,
Stp,0,,,
Stp%,0,,,
#OPA,0,,,
AvgDist,0,,,
Cmp.1,0,,,
Att.3,0,,,
Cmp%.1,0,,,
TotDist,0,,,
PrgDist,0,,,
Cmp.2,0,,,
Att.4,0,,,
Cmp%.2,0,,,
Cmp.3,0,,,
Att.5,0,,,
Cmp%.3,0,,,
Cmp.4,0,,,
Att.6,0,,,
Cmp%.4,0,,,
Ast,0,,,
xAG,0,,,
xA,0,,,
KP,0,,,
1/3,0,,,
PPA,0,,,
CrsPA,0,,,
PrgP,0,,,
Live,0,,,
Dead,0,,,
FK.1,0,,,
TB,0,,,
Sw,0,,,
Crs,0,,,
TI,0,,,
CK,0,,,
In,0,,,
Out,0,,,
Str,0,,,
Off,0,,,
Blocks,0,,,
SCA,0,,,
PassLive,0,,,
PassDead,0,,,
TO,0,,,
Sh.1,0,,,
Fld,0,,,
Def,0,,,
GCA,0,,,
PassLive.1,0,,,
PassDead.1,0,,,
TO.1,0,,,
Sh.2,0,,,
Fld.1,0,,,
Def.1,0,,,
Tkl,0,,,
TklW,0,,,
Def 3rd,0,,,
Mid 3rd,0,,,
Att 3rd,0,,,
Tkl.1,0,,,
Att.7,0,,,
Tkl%,0,,,
Lost,0,,,
Blocks.1,0,,,
Sh.3,0,,,
Pass,0,,,
Int,0,,,
Tkl+Int,0,,,
Clr,0,,,
Err,0,,,
Touches,0,,,
Def Pen,0,,,
Def 3rd.1,0,,,
Mid 3rd.1,0,,,
Att 3rd.1,0,,,
Att Pen,0,,,
Live.1,0,,,
Att.8,0,,,
Succ,0,,,
Succ%,0,,,
Tkld,0,,,
Tkld%,0,,,
Carries,0,,,
TotDist.1,0,,,
PrgDist.1,0,,,
PrgC,0,,,
1/3.1,0,,,
CPA,0,,,
Mis,0,,,
Dis,0,,,
Rec,0,,,
PrgR,0,,,
CrdY,0,,,
CrdR,0,,,
2CrdY,0,,,
Fls,0,,,
Fld.2,0,,,
Off.1,0,,,
PKwon,0,,,
PKcon,0,,,
OG,0,,,
Recov,0,,,
Won,0,,,
Lost.1,0,,,
Won%,0,,,
saison,1,str,,
